component,parent,depth,score,role
a9.h7,logits,0,0.11481523513793945,accepted
m0,a9.h7,1,0.051978111267089844,accepted
a9.h6,logits,0,2.304689645767212,accepted
a8.h10,logits,0,0.41300296783447266,accepted
m0,a8.h10,1,0.1683826446533203,accepted
input,m0,2,0.1529674530029297,accepted
a11.h6,logits,0,0.3032419681549072,accepted
a9.h9,a11.h6,1,0.2221851348876953,accepted
a10.h7,a11.h6,1,0.18440818786621094,accepted
a7.h3,a11.h6,1,0.10461616516113281,accepted
a9.h6,a11.h6,1,0.1892223358154297,accepted
a8.h6,a9.h6,2,0.13748931884765625,accepted
a5.h5,a8.h6,3,0.06331443786621094,accepted
a5.h5,a8.h6,3,0.06331443786621094,accepted
a8.h6,a9.h6,2,0.13748931884765625,accepted
a8.h3,a11.h6,1,0.05396270751953125,accepted
a7.h9,a11.h6,1,0.158447265625,accepted
a5.h5,a7.h9,2,0.08301925659179688,accepted
a5.h5,a7.h9,2,0.08301925659179688,accepted
a8.h10,a11.h6,1,0.21562767028808594,accepted
a5.h5,a8.h10,2,0.06659317016601562,accepted
a5.h5,a8.h10,2,0.06659317016601562,accepted
a10.h10,a11.h6,1,0.15828895568847656,accepted
a9.h9,a10.h10,2,0.08310508728027344,accepted
a9.h6,a10.h10,2,0.08343315124511719,accepted
a9.h6,a10.h10,2,0.08343315124511719,accepted
a7.h9,a10.h10,2,0.0807342529296875,accepted
a8.h10,a10.h10,2,0.06748771667480469,accepted
a9.h9,a10.h10,2,0.08310508728027344,accepted
a8.h10,a10.h10,2,0.06748771667480469,accepted
a7.h9,a10.h10,2,0.0807342529296875,accepted
a8.h6,a10.h10,2,0.2056121826171875,accepted
a8.h6,a10.h10,2,0.2056121826171875,accepted
a5.h5,a8.h6,3,0.058338165283203125,accepted
a5.h5,a8.h6,3,0.058338165283203125,accepted
a9.h9,a11.h6,1,0.2221851348876953,accepted
a7.h9,a9.h9,2,0.07215690612792969,accepted
a8.h10,a9.h9,2,0.06504249572753906,accepted
a8.h10,a9.h9,2,0.06504249572753906,accepted
a7.h9,a9.h9,2,0.07215690612792969,accepted
a8.h6,a9.h9,2,0.155029296875,accepted
a8.h6,a9.h9,2,0.155029296875,accepted
a7.h3,a11.h6,1,0.10461616516113281,accepted
a9.h6,a11.h6,1,0.1892223358154297,accepted
a10.h7,a11.h6,1,0.18440818786621094,accepted
a9.h9,a10.h7,2,0.1287059783935547,accepted
a9.h9,a10.h7,2,0.1287059783935547,accepted
