granularity,scope,method,threshold,n_components,n_heads,n_mlps,n_edges,n_paths,F,faithfulness,rel_gap,incompleteness_mean,incompleteness_max,completeness,head_precision,head_recall,head_f1
node,all,path,0.05,27,20,7,106,116,2.633496046066284,0.8278496898182351,0.16901354728851856,0.29414897301306137,0.7208317708299298,0.7058510269869387,0.85,0.6538461538461539,0.7391304347826086
node,all,path,0.08469069900482264,20,15,5,64,44,2.7237789630889893,0.8568667324835992,0.14052522619564747,0.2600223626453756,0.6478578321690347,0.7399776373546244,0.9333333333333333,0.5384615384615384,0.6829268292682927
node,all,path,0.14345028995850928,13,12,1,35,18,0.09372811019420624,0.011565092624837783,0.9704245655025852,0.42910369495883127,0.938945139543558,0.5708963050411687,1.0,0.46153846153846156,0.631578947368421
node,all,path,0.24297810658061286,7,6,1,13,5,-0.40311843156814575,-0.1481220085000744,1.1272019967418618,0.5419731659558128,1.144932369142307,0.4580268340441872,1.0,0.23076923076923078,0.375
node,all,path,0.41155971378360795,5,4,1,9,2,-0.4085603356361389,-0.1498710432868222,1.1289191622429122,0.4871916259681828,0.7865763744858957,0.5128083740318172,1.0,0.15384615384615385,0.26666666666666666
node,all,path,0.6971055968511699,4,3,1,6,1,-0.40699002146720886,-0.14936634234515445,1.1284236574925517,0.4401087601266965,0.8152987512454359,0.5598912398733036,1.0,0.11538461538461539,0.20689655172413793
node,all,path,1.1807672055499936,0,0,0,0,0,0.05774476379156113,0.0,0.9817789297624014,,,,0.0,0.0,0.0
node,all,path,2.0,0,0,0,0,0,0.05774476379156113,0.0,0.9817789297624014,,,,0.0,0.0,0.0
node,all,tree,0.05,41,33,8,203,392,-1.2452068328857422,-0.4187702759114589,1.392918763063059,0.7986752270776486,1.9730993804223864,0.2013247729223514,0.5454545454545454,0.6923076923076923,0.6101694915254238
node,all,random,0.05,41,35,6,2253,0,-0.14727000892162323,-0.06589200485571711,1.0464703117695464,0.6497640905519466,1.181582358620201,0.3502359094480534,0.2857142857142857,0.38461538461538464,0.32786885245901637
node,all,tree,0.08469069900482264,29,24,5,113,217,-0.8869017958641052,-0.3036105880177128,1.2798574079309648,0.7511748306652837,1.6841739868446004,0.24882516933471632,0.7083333333333334,0.6538461538461539,0.68
node,all,random,0.08469069900482264,29,27,2,1181,0,0.10087975114583969,0.013863638988472935,0.9681679011136862,0.7602608141085957,0.9774776570204899,0.2397391858914043,0.25925925925925924,0.2692307692307692,0.2641509433962264
node,all,tree,0.14345028995850928,22,17,5,79,147,-0.6941057443618774,-0.24164569547057724,1.219021582043196,0.5446607473205627,1.4474123584685972,0.4553392526794373,0.8235294117647058,0.5384615384615384,0.6511627906976745
node,all,random,0.14345028995850928,22,21,1,729,0,0.07309765368700027,0.004934438051226877,0.9769344024534891,0.8635046856376134,1.1459060982830107,0.1364953143623866,0.19047619047619047,0.15384615384615385,0.1702127659574468
node,all,tree,0.24297810658061286,17,15,2,46,84,0.11079160869121552,0.017049322424187024,0.965040264239609,0.6966294326438861,1.4670175202351938,0.3033705673561139,0.9333333333333333,0.5384615384615384,0.6829268292682927
node,all,random,0.24297810658061286,17,17,0,456,0,0.04602214694023132,-0.003767663745725093,0.9854779426423841,0.8089345089848363,1.102391422649115,0.19106549101516368,0.17647058823529413,0.11538461538461539,0.13953488372093023
node,all,tree,0.41155971378360795,13,13,0,27,48,0.10509387403726578,0.01521806336652937,0.9668381557973539,0.8083740521714329,1.5610188991613845,0.19162594782856712,1.0,0.5,0.6666666666666666
node,all,random,0.41155971378360795,13,12,1,278,0,0.06440252810716629,0.00213981379393478,0.9796781056659014,1.00702838218662,1.0742848047930986,-0.007028382186619941,0.08333333333333333,0.038461538461538464,0.05263157894736842
node,all,tree,0.6971055968511699,11,11,0,18,27,0.09832758456468582,0.013043369451149124,0.9689732244621567,0.7732345152704901,1.226759788273592,0.22676548472950986,1.0,0.4230769230769231,0.5945945945945946
node,all,random,0.6971055968511699,11,10,1,176,0,0.06402716040611267,0.00201917014443979,0.9797965510589852,0.941101797375819,1.0507127703488086,0.058898202624180995,0.2,0.07692307692307693,0.1111111111111111
node,all,tree,1.1807672055499936,7,7,0,9,16,0.07025301456451416,0.004020167472619135,0.9778320140436678,0.8168830029611203,1.5790529492432188,0.18311699703887974,1.0,0.2692307692307692,0.42424242424242425
node,all,random,1.1807672055499936,7,6,1,69,0,0.06656244397163391,0.0028340134593830267,0.9789965550613161,0.9874107427426365,1.0216648872959604,0.012589257257363484,0.0,0.0,0.0
node,all,tree,2.0,5,5,0,7,11,0.06746239960193634,0.003123260326704037,0.9787125785814806,1.0058264184937324,2.129284642832573,-0.005826418493732444,1.0,0.19230769230769232,0.3225806451612903
node,all,random,2.0,5,5,0,51,0,0.059107087552547455,0.00043785256392012736,0.9813490553408022,0.997255462576993,1.0082131790456044,0.002744537423006954,0.0,0.0,0.0
node,attention,path,0.05,32,20,12,719,116,2.1372005939483643,0.6683397095956184,0.32561708495790104,0.28205497875814733,1.607044579556211,0.7179450212418527,0.85,0.6538461538461539,0.7391304347826086
node,attention,path,0.08469069900482264,27,15,12,540,44,2.426943778991699,0.761463532348117,0.23419007792056937,0.3000598534359137,0.8255267948980397,0.6999401465640863,0.9333333333333333,0.5384615384615384,0.6829268292682927
node,attention,path,0.14345028995850928,24,12,12,435,18,2.6930227279663086,0.8469816399742782,0.150230201740051,0.20587240872169033,1.1520382372337576,0.7941275912783097,1.0,0.46153846153846156,0.631578947368421
node,attention,path,0.24297810658061286,18,6,12,266,5,-1.3164206743240356,-0.4416584937883774,1.4153899331144288,0.9085604979866021,1.3882478755950254,0.0914395020133979,1.0,0.23076923076923078,0.375
node,attention,path,0.41155971378360795,16,4,12,200,2,-0.9682903289794922,-0.3297689645496391,1.3055391508468015,0.684681946153785,0.9765752206832788,0.31531805384621503,1.0,0.15384615384615385,0.26666666666666666
node,attention,path,0.6971055968511699,15,3,12,174,1,-0.9981477856636047,-0.33936518854253767,1.3149605213683098,0.7897694093035149,0.9700954203600249,0.2102305906964851,1.0,0.11538461538461539,0.20689655172413793
node,attention,path,1.1807672055499936,12,0,12,90,0,0.08041790127754211,0.007287174799889551,0.9746245350863744,,,,0.0,0.0,0.0
node,attention,path,2.0,12,0,12,90,0,0.08041790127754211,0.007287174799889551,0.9746245350863744,,,,0.0,0.0,0.0
node,attention,tree,0.05,45,33,12,1188,392,1.0047152042388916,0.30435748621622777,0.6829671626798585,0.34666044304981214,0.7188013435489449,0.6533395569501879,0.5454545454545454,0.6923076923076923,0.6101694915254238
node,attention,random,0.05,49,37,12,2938,0,0.8177996873855591,0.24428260487419357,0.7419474153894441,0.7437107781373631,1.1124177621695208,0.2562892218626369,0.1891891891891892,0.2692307692307692,0.2222222222222222
node,attention,tree,0.08469069900482264,36,24,12,891,217,0.4663953483104706,0.13134080994778957,0.8528312899377336,0.5552406628164642,1.5502038416950434,0.4447593371835358,0.7083333333333334,0.6538461538461539,0.68
node,attention,random,0.08469069900482264,37,25,12,1613,0,-0.30388808250427246,-0.11622924996457809,1.0958903583997115,1.0188258934935468,1.1731927579030756,-0.018825893493546797,0.16,0.15384615384615385,0.1568627450980392
node,attention,tree,0.14345028995850928,29,17,12,670,147,0.5196173787117004,0.14844643721170933,0.8360373455096479,0.707515341943353,1.7094237273527564,0.29248465805664703,0.8235294117647058,0.5384615384615384,0.6511627906976745
node,attention,random,0.14345028995850928,33,21,12,1255,0,-0.11885654926300049,-0.05675988331629553,1.0375045872581128,1.0325231599779885,1.7662647142550216,-0.03252315997798849,0.23809523809523808,0.19230769230769232,0.2127659574468085
node,attention,tree,0.24297810658061286,27,15,12,584,84,0.6290556192398071,0.18362002485540307,0.8015046582769183,0.6180849488140443,1.4381974068179029,0.3819150511859557,0.9333333333333333,0.5384615384615384,0.6829268292682927
node,attention,random,0.24297810658061286,26,14,12,706,0,-0.14517048001289368,-0.06521721363351447,1.0458078159655992,1.0376084033094717,1.0865830480689285,-0.03760840330947168,0.07142857142857142,0.038461538461538464,0.05
node,attention,tree,0.41155971378360795,25,13,12,509,48,0.5281770825386047,0.15119753674791173,0.8333363739513253,0.7735127850527698,1.477797556297159,0.22648721494723023,1.0,0.5,0.6666666666666666
node,attention,random,0.41155971378360795,23,11,12,514,0,0.03251022845506668,-0.008110411278753312,0.9897415606675888,0.9910410564915318,1.2041204510545198,0.008958943508468153,0.09090909090909091,0.038461538461538464,0.05405405405405406
node,attention,tree,0.6971055968511699,23,11,12,436,27,0.6461543440818787,0.18911557644619775,0.7961092415176538,0.6915450991505289,1.326934273411115,0.30845490084947114,1.0,0.4230769230769231,0.5945945945945946
node,attention,random,0.6971055968511699,22,10,12,459,0,-0.07515563815832138,-0.04271435572528015,1.0237149842118576,0.9942477187661831,1.0796320619886663,0.0057522812338168805,0.2,0.07692307692307693,0.1111111111111111
node,attention,tree,1.1807672055499936,19,7,12,307,16,0.48520416021347046,0.13738598566289079,0.8468962637939359,0.728715019271339,1.5595974755441462,0.27128498072866103,1.0,0.2692307692307692,0.42424242424242425
node,attention,random,1.1807672055499936,18,6,12,317,0,-0.8029876947402954,-0.2766404907630693,1.2533787347127132,1.105570137723343,1.4028728715334404,-0.1055701377233429,0.6666666666666666,0.15384615384615385,0.25
