candidate,parent,depth,isolated,joint,ratio,iso_admits,joint_admits
m1,a8.h6,1,0.0040547847747802734,-8.392333984375e-05,48.31534090909091,False,False
m3,a8.h6,1,-0.000408172607421875,-0.0036373138427734375,0.11221814368117462,False,False
m1,a8.h6,1,0.0002434253692626953,0.0002765655517578125,0.8801724137931034,False,False
m3,a8.h6,1,-6.628036499023438e-05,-0.000423431396484375,0.15653153153153154,False,False
m1,a8.h6,2,-0.0001671314239501953,-0.0002956390380859375,0.5653225806451613,False,False
m3,a8.h6,2,0.0002117156982421875,-0.00051116943359375,0.4141791044776119,False,False
m1,a8.h6,2,0.0004711151123046875,-0.010540008544921875,0.04469779225479551,False,False
m3,a8.h6,2,-0.016870498657226562,-0.0223236083984375,0.7557245386192755,False,False
m1,a8.h6,2,0.0002372264862060547,0.000152587890625,1.5546875,False,False
m3,a8.h6,2,-0.002691984176635742,-0.0032138824462890625,0.8376112759643917,False,False
m1,a8.h6,2,4.458427429199219e-05,3.62396240234375e-05,1.230263157894737,False,False
m3,a8.h6,2,-0.00013375282287597656,-7.05718994140625e-05,1.8952702702702702,False,False
m1,a8.h6,2,0.0003559589385986328,0.0004730224609375,0.7525201612903226,False,False
m3,a8.h6,2,-0.0005023479461669922,-0.0008392333984375,0.5985795454545455,False,False
m1,a8.h6,2,-0.0020983219146728516,-0.0019378662109375,1.0828001968503937,False,False
m3,a8.h6,2,-0.0036051273345947266,-0.0025157928466796875,1.4329984836997725,False,False
m1,a8.h6,2,-0.00018525123596191406,-0.00042724609375,0.43359375,False,False
m3,a8.h6,2,0.0001361370086669922,0.0010623931884765625,0.12814183123877917,False,False
m1,a8.h6,2,-0.009626626968383789,0.0240631103515625,0.40005746670894105,False,False
m3,a8.h6,2,-0.0012629032135009766,0.030933380126953125,0.0408265507460846,False,False
m1,m5,2,0.00597071647644043,0.0059413909912109375,1.0049357945425361,False,False
m2,m5,2,-0.005257844924926758,-0.011182785034179688,0.47017311956336344,False,False
m3,m5,2,-0.0018362998962402344,-0.005741119384765625,0.3198504983388704,False,False
m4,m5,2,-0.0006160736083984375,-0.001186370849609375,0.5192926045016077,False,False
m1,a5.h5,2,-4.0531158447265625e-06,-5.7220458984375e-06,0.7083333333333334,False,False
m1,a5.h5,2,0.00201416015625,0.0056743621826171875,0.3549579831932773,False,False
m1,a8.h6,2,-0.003336668014526367,-0.0036029815673828125,0.9260852302805718,False,False
m3,a8.h6,2,-0.0015552043914794922,-0.001873016357421875,0.8303207739307535,False,False
m1,a8.h6,2,6.079673767089844e-05,7.62939453125e-05,0.796875,False,False
m3,a8.h6,2,-0.0001468658447265625,-0.0001506805419921875,0.9746835443037974,False,False
m1,a8.h6,2,0.0001773834228515625,1.33514404296875e-05,13.285714285714286,False,False
m3,a8.h6,2,-0.00025177001953125,1.52587890625e-05,16.5,False,False
m1,a8.h6,2,-0.002246379852294922,3.62396240234375e-05,61.98684210526316,False,False
m3,a8.h6,2,-0.0074787139892578125,9.34600830078125e-05,80.0204081632653,False,False
m1,a8.h6,2,-0.0372774600982666,-0.013580322265625,2.7449613764044942,False,False
m3,a8.h6,2,-0.06471514701843262,-0.027082443237304688,2.389560884569336,True,False
m1,a8.h6,2,-0.0005023479461669922,-0.0008411407470703125,0.5972222222222222,False,False
m3,a8.h6,2,-0.0018839836120605469,0.0002727508544921875,6.9073426573426575,False,False
m1,a8.h6,2,0.005266666412353516,0.0031642913818359375,1.6644062688366486,False,False
m3,a8.h6,2,0.008579730987548828,0.0058155059814453125,1.4753197769760578,False,False
m1,a8.h6,2,-5.7220458984375e-06,2.47955322265625e-05,0.23076923076923078,False,False
m3,a8.h6,2,-8.20159912109375e-05,-0.0001506805419921875,0.5443037974683544,False,False
m1,a5.h5,2,4.76837158203125e-07,-1.9073486328125e-06,0.25,False,False
m1,a5.h5,2,0.0012905597686767578,0.001384735107421875,0.9319903581267218,False,False
m1,a8.h6,2,0.0016217231750488281,-0.025640487670898438,0.06324853083389124,False,False
m3,a8.h6,2,0.012463092803955078,-0.03188133239746094,0.3909213281483697,False,False
m1,a8.h6,2,-0.0005557537078857422,-0.0003414154052734375,1.6277932960893855,False,False
m3,a8.h6,2,0.0007386207580566406,-0.0007686614990234375,0.9609181141439206,False,False
m1,a8.h6,2,0.0003712177276611328,1.1444091796875e-05,32.4375,False,False
m3,a8.h6,2,-0.0010929107666015625,-0.00011444091796875,9.55,False,False
m1,a8.h6,2,-0.010966062545776367,-0.00417327880859375,2.627685100548446,False,False
m3,a8.h6,2,-0.015228509902954102,-0.00702667236328125,2.1672434853420195,False,False
m1,a8.h6,2,-4.410743713378906e-05,-1.9073486328125e-05,2.3125,False,False
m3,a8.h6,2,-0.0006744861602783203,0.000316619873046875,2.1302710843373496,False,False
m1,a8.h6,2,-0.017589092254638672,0.0016326904296875,10.773072429906541,False,False
m3,a8.h6,2,-0.023368120193481445,-0.013263702392578125,1.7618097497842968,False,False
m1,a8.h6,2,0.0002911090850830078,-9.34600830078125e-05,3.114795918367347,False,False
m3,a8.h6,2,-0.0019354820251464844,-0.0002307891845703125,8.386363636363637,False,False
m1,a8.h6,2,-0.03404879570007324,-0.010433197021484375,3.2635054844606946,False,False
m3,a8.h6,2,-0.04073333740234375,-0.018629074096679688,2.1865465342479777,False,False
m1,a8.h6,2,-0.0001621246337890625,-0.000148773193359375,1.0897435897435896,False,False
m3,a8.h6,2,-0.00031685829162597656,0.0004291534423828125,0.7383333333333333,False,False
m1,a8.h6,2,-0.01846146583557129,0.005962371826171875,3.0963291746641075,False,False
m3,a8.h6,2,-0.014759063720703125,0.0026092529296875,5.656432748538012,False,False
m1,a8.h6,2,0.0005834102630615234,7.62939453125e-06,76.46875,False,False
m3,a8.h6,2,-0.003478527069091797,0.000186920166015625,18.60969387755102,False,False
m1,a8.h6,2,-0.05384707450866699,0.0037174224853515625,14.485056439199589,True,False
m3,a8.h6,2,-0.07410931587219238,0.0021457672119140625,34.537444444444446,True,False
m1,a8.h6,2,-0.04117417335510254,-0.016628265380859375,2.4761556549667354,False,False
m3,a8.h6,2,-0.02513575553894043,-0.014156341552734375,1.7755827270277553,False,False
m1,a8.h6,2,0.00033736228942871094,-0.00040435791015625,0.8343160377358491,False,False
m3,a8.h6,2,-0.0016727447509765625,0.000244140625,6.8515625,False,False
m1,a8.h6,3,0.0031774044036865234,0.0029506683349609375,1.076842275371687,False,False
m3,a8.h6,3,0.003737211227416992,0.0064487457275390625,0.5795252883762201,False,False
m1,a8.h6,3,2.3365020751953125e-05,0.0001125335693359375,0.2076271186440678,False,False
m3,a8.h6,3,0.00015234947204589844,0.0001239776611328125,1.228846153846154,False,False
m1,a5.h5,3,-5.0067901611328125e-06,-1.9073486328125e-06,2.625,False,False
m1,a5.h5,3,0.0051708221435546875,0.003810882568359375,1.3568568568568569,False,False
m1,a5.h5,3,-2.7418136596679688e-05,-3.814697265625e-06,7.1875,False,False
m1,a5.h5,3,0.004641294479370117,0.0017795562744140625,2.608118971061093,False,False
m1,a8.h6,3,0.0001552104949951172,0.0002593994140625,0.5983455882352942,False,False
