method,threshold,layer,position,position_label
path,0.05,0,10,S2
path,0.05,1,10,S2
path,0.05,3,10,S2
path,0.05,4,10,S2
path,0.05,10,14,end
path,0.08469069900482264,0,10,S2
path,0.14345028995850928,0,10,S2
path,0.24297810658061286,0,10,S2
path,0.41155971378360795,0,10,S2
tree,0.05,0,10,S2
tree,0.05,1,10,S2
tree,0.05,5,10,S2
tree,0.05,6,10,S2
tree,0.05,7,10,S2
tree,0.05,8,14,end
tree,0.05,9,14,end
tree,0.05,10,11,p11
tree,0.05,10,14,end
tree,0.05,11,14,end
tree,0.08469069900482264,0,10,S2
tree,0.08469069900482264,6,10,S2
tree,0.08469069900482264,8,14,end
tree,0.08469069900482264,9,14,end
tree,0.08469069900482264,10,14,end
tree,0.08469069900482264,11,14,end
tree,0.14345028995850928,0,10,S2
tree,0.14345028995850928,9,14,end
tree,0.14345028995850928,10,14,end
tree,0.24297810658061286,0,10,S2
tree,0.24297810658061286,9,14,end
tree,0.24297810658061286,10,14,end
