method,threshold,n_elements,n_heads,n_positions,n_mlps,n_paths,F,ratio,gap_none,incompl_mean,incompl_max,element_precision,element_recall,element_f1,head_precision,head_recall,head_f1
path,0.05,18,18,2,5,83,2.1602468490600586,0.6924556252812396,0.9594430923461914,0.6095055870711803,2.252268761396408,0.8888888888888888,0.6153846153846154,0.7272727272727273,0.8888888888888888,0.6153846153846154,0.7272727272727273
path,0.08469069900482264,14,14,2,1,33,0.8067327737808228,0.25859389520523157,2.3129571676254272,1.1945579133927822,6.219448566436768,1.0,0.5384615384615384,0.7,1.0,0.5384615384615384,0.7
path,0.14345028995850928,11,11,2,1,13,0.3456375300884247,0.11079226993071724,2.7740524113178253,1.2419178403913975,3.456889808177948,1.0,0.4230769230769231,0.5945945945945946,1.0,0.4230769230769231,0.5945945945945946
path,0.24297810658061286,7,7,2,1,6,-1.6156272888183594,-0.5178807250601608,4.735317230224609,2.4618855122476817,4.642526865005493,1.0,0.2692307692307692,0.42424242424242425,1.0,0.2692307692307692,0.42424242424242425
path,0.41155971378360795,3,3,2,1,1,-1.0577946901321411,-0.3390704557182126,4.177484631538391,2.409185392409563,4.177484631538391,1.0,0.11538461538461539,0.20689655172413793,1.0,0.11538461538461539,0.20689655172413793
path,0.6971055968511699,0,0,0,0,0,0.17592817544937134,0.056392839914747715,2.9437617659568787,,,0.0,0.0,0.0,0.0,0.0,0.0
path,1.1807672055499936,0,0,0,0,0,0.17592817544937134,0.056392839914747715,2.9437617659568787,,,0.0,0.0,0.0,0.0,0.0,0.0
path,2.0,0,0,0,0,0,0.17592817544937134,0.056392839914747715,2.9437617659568787,,,0.0,0.0,0.0,0.0,0.0,0.0
tree,0.05,39,38,3,10,548,0.5690754652023315,0.18241411034130262,2.5506144762039185,1.1196877475827933,2.925851583480835,0.5128205128205128,0.7692307692307693,0.6153846153846154,0.5263157894736842,0.7692307692307693,0.625
random,0.05,39,35,15,0,0,0.17659248411655426,0.05660578052091689,2.9430974572896957,3.0570578396320345,3.179932579398155,0.0,0.0,0.0,0.2571428571428571,0.34615384615384615,0.29508196721311475
tree,0.08469069900482264,29,29,2,6,279,0.6884121894836426,0.2206668619040166,2.4312777519226074,0.7111058805137873,3.618610128760338,0.6551724137931034,0.7307692307692307,0.6909090909090909,0.6551724137931034,0.7307692307692307,0.6909090909090909
random,0.08469069900482264,29,26,14,0,0,0.17646878957748413,0.056566130895026705,2.943221151828766,2.9493432588875295,2.9680991768836975,0.0,0.0,0.0,0.15384615384615385,0.15384615384615385,0.15384615384615385
tree,0.14345028995850928,22,22,2,3,154,0.5815280675888062,0.18640572573269032,2.538161873817444,1.5547396797686814,6.310501337051392,0.7727272727272727,0.6538461538461539,0.7083333333333334,0.7727272727272727,0.6538461538461539,0.7083333333333334
random,0.14345028995850928,22,21,10,0,0,0.17592817544937134,0.056392839914747715,2.9437617659568787,2.9475053906440736,2.9530252814292908,0.0,0.0,0.0,0.2857142857142857,0.23076923076923078,0.2553191489361702
tree,0.24297810658061286,15,15,2,3,100,0.556983470916748,0.17853808595660595,2.562706470489502,1.7099691424518824,5.727587044239044,0.9333333333333333,0.5384615384615384,0.6829268292682927,0.9333333333333333,0.5384615384615384,0.6829268292682927
random,0.24297810658061286,15,14,8,0,0,0.16257870197296143,0.05211373727085086,2.9571112394332886,3.017379826307297,3.117828369140625,0.0,0.0,0.0,0.0,0.0,0.0
tree,0.41155971378360795,13,13,2,0,49,0.5613207221031189,0.17992836873080234,2.558369219303131,1.0897196646779777,3.5908307284116745,0.9230769230769231,0.46153846153846156,0.6153846153846154,0.9230769230769231,0.46153846153846156,0.6153846153846154
random,0.41155971378360795,13,13,9,0,0,0.1829942762851715,0.0586578409143711,2.9366956651210785,2.9494030475616455,2.9726292490959167,0.0,0.0,0.0,0.15384615384615385,0.07692307692307693,0.10256410256410256
tree,0.6971055968511699,12,12,2,0,30,0.4626416563987732,0.14829731963370377,2.657048285007477,1.979847725853324,5.577896237373352,1.0,0.46153846153846156,0.631578947368421,1.0,0.46153846153846156,0.631578947368421
random,0.6971055968511699,12,12,8,0,0,0.17623618245124817,0.05649156991922309,2.943453758955002,3.0236768715083597,3.0884079337120056,0.0,0.0,0.0,0.08333333333333333,0.038461538461538464,0.05263157894736842
tree,1.1807672055499936,6,6,2,0,13,0.26567164063453674,0.08515962984282374,2.8540183007717133,2.648676688969135,5.116209924221039,1.0,0.23076923076923078,0.375,1.0,0.23076923076923078,0.375
random,1.1807672055499936,6,6,4,0,0,0.17592817544937134,0.056392839914747715,2.9437617659568787,2.9515779852867126,2.961096704006195,0.0,0.0,0.0,0.0,0.0,0.0
tree,2.0,6,6,2,0,8,0.26567164063453674,0.08515962984282374,2.8540183007717133,2.648676688969135,5.116209924221039,1.0,0.23076923076923078,0.375,1.0,0.23076923076923078,0.375
random,2.0,6,6,5,0,0,0.17592817544937134,0.056392839914747715,2.9437617659568787,2.9450497031211853,2.947739064693451,0.0,0.0,0.0,0.5,0.11538461538461539,0.1875
ground truth,,26,26,3,0,0,4.533143043518066,1.4530748659832136,1.4134531021118164,0.592074615508318,1.394940733909607,1.0,1.0,1.0,1.0,1.0,1.0
ground truth (all positions),,390,26,15,0,0,4.244749069213867,1.3606317130671257,1.1250591278076172,0.5976286001503468,1.2338254898786545,0.06666666666666667,1.0,0.125,1.0,1.0,1.0
full model,,2160,144,15,0,0,3.11968994140625,1.0,0.0,0.0,0.0,0.012037037037037037,1.0,0.023787740164684355,0.18055555555555555,1.0,0.3058823529411765
empty,,0,0,0,0,0,0.17592817544937134,0.056392839914747715,2.9437617659568787,,,0.0,0.0,0.0,0.0,0.0,0.0
