model,pos,modality,cells,timed_out,best_faith_all,best_faith_attn,median_pct_nodes,mean_time_s,total_time_s,median_peak_mb
gpt2-small,nopos,pap,6,0,1.0,1.0,31.41025641025641,14.872318387031555,89.23391032218933,959.039306640625
gpt2-small,nopos,pmp,6,0,1.020111168319808,1.020111168319808,30.76923076923077,315.5034531354904,1893.0207188129425,830.62646484375
gpt2-small,nopos,pmp_batched,6,0,1.020111168319808,1.020111168319808,29.807692307692307,80.50460116068523,483.0276069641113,830.62548828125
gpt2-small,pos,pap,6,0,1.0009157959424435,1.0009157959424435,27.243589743589745,31.957024653752644,191.74214792251587,1999.742431640625
gpt2-small,pos,pmp,6,2,0.9691665862255016,0.9691665862255016,24.03846153846154,1494.7055792013805,8968.233475208282,1907.815673828125
gpt2-small,pos,pmp_batched,6,0,0.9738588687576765,0.9738588687576765,24.67948717948718,258.3690832455953,1550.2144994735718,1899.389892578125
meta-llama/Llama-3.2-1B,nopos,pap,6,0,0.9995668964813987,0.9995668964813987,11.363636363636363,74.99331800142924,449.95990800857544,7544.3564453125
meta-llama/Llama-3.2-1B,nopos,pmp,6,3,0.9197830305200284,0.9197830305200284,7.765151515151516,2100.595993479093,12603.575960874557,6938.25439453125
meta-llama/Llama-3.2-1B,nopos,pmp_batched,6,0,0.9645287175360602,0.9645287175360602,11.931818181818183,564.5148319800695,3387.088991880417,6938.186767578125
meta-llama/Llama-3.2-1B,pos,pap,6,0,1.0048763254777504,1.0048763254777504,9.65909090909091,357.3799104690552,2144.279462814331,17421.25537109375
meta-llama/Llama-3.2-1B,pos,pmp,6,5,0.11919080391947044,0.23010102417524161,1.3257575757575757,3041.5256596008935,18249.153957605362,17176.1875
meta-llama/Llama-3.2-1B,pos,pmp_batched,6,1,0.9198419546485481,0.9198419546485481,9.375,1206.1778247356415,7237.066948413849,17176.644775390625
meta-llama/Meta-Llama-3-8B,nopos,pap,5,0,0.876791277258567,0.876791277258567,9.943181818181818,171.3444933414459,856.7224667072296,20140.98779296875
meta-llama/Meta-Llama-3-8B,nopos,pmp,6,3,-0.00015576323987538941,0.09174454828660436,0.8522727272727273,2551.986876050631,15311.921256303787,19854.759033203125
meta-llama/Meta-Llama-3-8B,nopos,pmp_batched,6,1,0.3705607476635514,0.8014018691588785,4.024621212121213,1161.8943959871929,6971.366375923157,19854.84326171875
