type,search_strategy,top_n,threshold,max_width,paths_found,relevant_paths_found,execution_time_s,peak_process_memory_mb
PathAttributionPatching,BestFirstSearch,10,,,10,8,2.2979,2408.0
PathAttributionPatching,BestFirstSearch,100,,,100,82,6.663,2408.0
PathAttributionPatching,BestFirstSearch,1000,,,1000,312,31.9521,2408.0
PathAttributionPatching,Threshold,,1.0,,773,91,6.8582,2408.0
PathAttributionPatching,Threshold,,0.5,,4356,282,25.2366,2452.0
PathAttributionPatching,Threshold,,0.25,,31588,505,141.7298,2508.0
PathAttributionPatching,LimitedLevelWidth,,,10,81,4,2.2035,2436.0
PathAttributionPatching,LimitedLevelWidth,,,100,1101,56,8.4161,2446.0
PathAttributionPatching,LimitedLevelWidth,,,1000,12001,268,64.2976,2472.0
PathMessagePatching,BestFirstSearch,10,,,10,10,237.29,2262.0
PathMessagePatching,BestFirstSearch,100,,,100,100,758.7578,2262.0
PathMessagePatching,BestFirstSearch,1000,,,1000,492,3296.8329,2262.0
PathMessagePatching,Threshold,,1.0,,752,87,395.3635,2262.0
PathMessagePatching,Threshold,,0.5,,4280,343,1600.5827,2262.0
PathMessagePatching,Threshold,,0.25,,29258,609,7377.8796,2262.0
PathMessagePatching,LimitedLevelWidth,,,10,91,5,33.0491,2262.0
PathMessagePatching,LimitedLevelWidth,,,100,1101,71,255.2948,2262.0
PathMessagePatching,LimitedLevelWidth,,,1000,12001,325,2040.0908,2262.0
PathMessagePatchingBatchedHeadsPos,BestFirstSearch,10,,,10,10,26.979,2060.0
PathMessagePatchingBatchedHeadsPos,BestFirstSearch,100,,,100,100,90.5984,2194.0
PathMessagePatchingBatchedHeadsPos,BestFirstSearch,1000,,,1000,466,547.3577,2262.0
PathMessagePatchingBatchedHeadsPos,Threshold,,1.0,,485,78,14.1582,1642.0
PathMessagePatchingBatchedHeadsPos,Threshold,,0.5,,2488,287,64.9283,1888.0
PathMessagePatchingBatchedHeadsPos,Threshold,,0.25,,15326,530,360.9965,2176.0
PathMessagePatchingBatchedHeadsPos,LimitedLevelWidth,,,10,61,6,4.7112,1806.0
PathMessagePatchingBatchedHeadsPos,LimitedLevelWidth,,,100,1101,83,74.4873,2262.0
PathMessagePatchingBatchedHeadsPos,LimitedLevelWidth,,,1000,11001,369,556.1005,2262.0
PathMessagePatchingBatchedPos,BestFirstSearch,10,,,10,10,27.5892,1398.0
PathMessagePatchingBatchedPos,BestFirstSearch,100,,,100,100,119.3816,1398.0
PathMessagePatchingBatchedPos,BestFirstSearch,1000,,,1000,666,714.2166,1398.0
PathMessagePatchingBatchedPos,Threshold,,1.0,,735,87,72.1191,1692.0
PathMessagePatchingBatchedPos,Threshold,,0.5,,4123,326,324.9559,1930.0
PathMessagePatchingBatchedPos,Threshold,,0.25,,28149,594,1675.2555,2196.0
PathMessagePatchingBatchedPos,LimitedLevelWidth,,,10,61,6,6.3834,1452.0
PathMessagePatchingBatchedPos,LimitedLevelWidth,,,100,1001,71,51.8483,1720.0
PathMessagePatchingBatchedPos,LimitedLevelWidth,,,1000,12001,281,498.2006,2262.0
