type,search_strategy,top_n,threshold,max_width,paths_found,relevant_paths_found,execution_time_s,peak_process_memory_mb
PathAttributionPatching,BestFirstSearch,100,,,100,35,20.9242,4554.0
PathAttributionPatching,Threshold,,1.0,,1180,124,5.7768,3904.0
PathAttributionPatching,Threshold,,0.5,,6110,282,25.3367,4120.0
PathAttributionPatching,LimitedLevelWidth,,,10,81,1,1.4598,3860.0
PathMessagePatching,BestFirstSearch,100,,,100,100,589.4193,3704.0
PathMessagePatching,Threshold,,1.0,,342,11,109.3369,3704.0
PathMessagePatching,Threshold,,0.5,,5185,231,1264.978,3704.0
PathMessagePatching,LimitedLevelWidth,,,10,81,3,18.8747,3704.0
PathMessagePatchingBatchedHeadsPos,BestFirstSearch,100,,,100,100,43.0331,3698.0
PathMessagePatchingBatchedHeadsPos,Threshold,,1.0,,199,11,9.885,3648.0
PathMessagePatchingBatchedHeadsPos,Threshold,,0.5,,2350,205,68.8218,3704.0
PathMessagePatchingBatchedHeadsPos,LimitedLevelWidth,,,10,161,0,9.1218,3642.0
PathAttributionPatching,BestFirstSearch,10,,,10,5,0.9576,3844.0
PathAttributionPatching,BestFirstSearch,1000,,,1000,219,192.1701,10626.0
PathAttributionPatching,Threshold,,1.5,,421,53,2.7901,3840.0
PathAttributionPatching,LimitedLevelWidth,,,100,1001,116,5.3924,3920.0
PathAttributionPatching,LimitedLevelWidth,,,1000,17697,382,82.7721,4962.0
PathMessagePatching,BestFirstSearch,10,,,10,10,96.1628,3704.0
PathMessagePatching,BestFirstSearch,1000,,,1000,640,4454.7405,3704.0
PathMessagePatching,Threshold,,1.5,,111,1,42.0646,3704.0
PathMessagePatching,LimitedLevelWidth,,,100,1901,28,289.2134,3704.0
PathMessagePatching,LimitedLevelWidth,,,1000,18341,392,2160.1014,3704.0
PathMessagePatchingBatchedHeadsPos,BestFirstSearch,10,,,10,10,8.0332,3654.0
PathMessagePatchingBatchedHeadsPos,BestFirstSearch,1000,,,1000,616,329.306,3704.0
PathMessagePatchingBatchedHeadsPos,Threshold,,1.5,,87,1,4.5001,3628.0
PathMessagePatchingBatchedHeadsPos,LimitedLevelWidth,,,100,1401,42,37.7853,3704.0
PathMessagePatchingBatchedHeadsPos,LimitedLevelWidth,,,1000,18893,466,542.4058,3704.0
