type,search_strategy,top_n,threshold,max_width,paths_found,relevant_paths_found,execution_time_s,peak_process_memory_mb
PathAttributionPatching,BestFirstSearch,100,,,100,70,101.7599,6390.0
PathAttributionPatching,Threshold,,1.0,,824,174,13.1093,6390.0
PathAttributionPatching,Threshold,,0.5,,4353,367,60.0084,6390.0
PathAttributionPatching,LimitedLevelWidth,,,10,101,1,5.5921,6390.0
PathMessagePatching,BestFirstSearch,100,,,100,100,175.3843,6224.0
PathMessagePatching,Threshold,,2.0,,55,1,154.0908,6224.0
PathMessagePatching,Threshold,,1.0,,1948,729,692.4992,6224.0
PathMessagePatching,Threshold,,0.5,,7335,1559,6493.2559,6224.0
PathMessagePatching,LimitedLevelWidth,,,10,171,1,332.0659,6224.0
PathMessagePatchingBatchedHeadsPos,BestFirstSearch,100,,,100,100,13.4302,4474.0
PathMessagePatchingBatchedHeadsPos,Threshold,,1.0,,1658,649,22.8602,3878.0
PathMessagePatchingBatchedHeadsPos,Threshold,,0.5,,4539,1248,96.3443,4420.0
PathMessagePatchingBatchedHeadsPos,LimitedLevelWidth,,,10,161,0,32.1745,5152.0
PathMessagePatchingBatchedPos,BestFirstSearch,100,,,100,100,607.1556,3704.0
PathMessagePatchingBatchedPos,Threshold,,1.0,,1944,729,136.9155,4092.0
PathMessagePatchingBatchedPos,Threshold,,0.5,,7319,1558,1030.6507,4560.0
PathMessagePatchingBatchedPos,LimitedLevelWidth,,,10,81,21,16.125,3752.0
PathAttributionPatching,BestFirstSearch,10,,,10,10,6.7757,6390.0
PathAttributionPatching,BestFirstSearch,1000,,,1000,255,529.8757,6390.0
PathAttributionPatching,Threshold,,1.5,,222,45,6.9833,6390.0
PathAttributionPatching,LimitedLevelWidth,,,100,843,133,15.8267,6502.0
PathAttributionPatching,LimitedLevelWidth,,,1000,19001,489,199.1602,6610.0
PathMessagePatching,BestFirstSearch,10,,,10,10,162.9952,6224.0
PathMessagePatching,BestFirstSearch,1000,,,1000,1000,1932.9822,6224.0
PathMessagePatching,Threshold,,1.5,,892,350,278.1132,6224.0
PathMessagePatching,LimitedLevelWidth,,,100,901,226,769.7976,6224.0
PathMessagePatching,LimitedLevelWidth,,,1000,15001,1574,9309.1951,6224.0
PathMessagePatchingBatchedHeadsPos,BestFirstSearch,10,,,10,10,9.035,4344.0
PathMessagePatchingBatchedHeadsPos,BestFirstSearch,1000,,,1000,1000,106.3407,6112.0
PathMessagePatchingBatchedHeadsPos,Threshold,,1.5,,508,186,8.6161,3776.0
PathMessagePatchingBatchedHeadsPos,LimitedLevelWidth,,,100,901,226,52.9266,6224.0
PathMessagePatchingBatchedHeadsPos,LimitedLevelWidth,,,1000,17001,1460,1817.1773,6224.0
PathMessagePatchingBatchedPos,BestFirstSearch,10,,,10,10,100.8687,3704.0
PathMessagePatchingBatchedPos,BestFirstSearch,1000,,,1000,640,4451.714,3704.0
PathMessagePatchingBatchedPos,Threshold,,1.5,,890,350,65.2718,3906.0
PathMessagePatchingBatchedPos,LimitedLevelWidth,,,100,901,222,127.5521,4146.0
PathMessagePatchingBatchedPos,LimitedLevelWidth,,,1000,17449,1544,1776.7655,6224.0
